content_hash_id,client_hash_id,model_score,confidence,suggested_action,reason_codes,impressions_feature_window,avg_position_feature_window,ctr_feature_window,days_with_any_row,is_declining
content_6358f2b518c44130,client_f623b01661d4bfe4,0.7693471433997939,low,monitor,['model_decline_risk'],3.0,3.25,0.3333333333333333,59,0
content_cbacda4977060687,client_f623b01661d4bfe4,0.7669977057033509,low,monitor,['model_decline_risk'],3.0,4.0,0.3333333333333333,59,1
content_d850827538e9d408,client_f623b01661d4bfe4,0.766871260157188,low,monitor,['model_decline_risk'],7.0,10.25,0.42857142857142855,59,1
content_16ac1a2430014e30,client_f623b01661d4bfe4,0.7653967808316814,low,monitor,['model_decline_risk'],2.0,17.0,0.5,59,1
content_247aa09564a3da17,client_f623b01661d4bfe4,0.7631141562995465,low,monitor,['model_decline_risk'],16.0,6.114285714285714,0.375,59,1
content_0d64aa1bf5b5cbe1,client_f623b01661d4bfe4,0.7630906445691528,low,monitor,['model_decline_risk'],3.0,5.25,0.3333333333333333,59,1
content_0e5506ac87b7d1b5,client_f623b01661d4bfe4,0.762833133738323,low,monitor,['model_decline_risk'],3.0,5.333333333333333,0.3333333333333333,59,1
content_654ca7c7fa36c458,client_2094c6eb080311d5,0.762833133738323,low,monitor,['model_decline_risk'],3.0,5.333333333333333,0.3333333333333333,59,1
content_fc9330463915190b,client_f623b01661d4bfe4,0.7624544972450685,low,monitor,['model_decline_risk'],3.0,5.5,0.3333333333333333,59,1
content_0cf61a25f9eba91e,client_f623b01661d4bfe4,0.7607661095516769,low,monitor,['model_decline_risk'],3.0,6.0,0.3333333333333333,59,1
content_ef51bd93a901ff39,client_f623b01661d4bfe4,0.7597279773034363,low,monitor,['model_decline_risk'],3.0,6.333333333333333,0.3333333333333333,59,1
content_41753207d01fbb6e,client_f623b01661d4bfe4,0.7565951381339353,low,monitor,['model_decline_risk'],3.0,7.333333333333333,0.3333333333333333,59,1
content_a8ff669bb3932ec2,client_f623b01661d4bfe4,0.7561400260540824,low,monitor,['model_decline_risk'],3.0,7.5,0.3333333333333333,59,0
content_b589c670c71a5db2,client_f623b01661d4bfe4,0.7541998820148904,low,monitor,['model_decline_risk'],1.0,58.0,1.0,59,1
content_6958e153891a3c06,client_f623b01661d4bfe4,0.7517744632449769,low,monitor,['model_decline_risk'],2.0,10.0,0.5,45,1
content_27527c20ed0f191f,client_f623b01661d4bfe4,0.7507534162544439,low,monitor,['model_decline_risk'],20.0,4.454545454545454,0.3,59,0
content_47609be57d8502c9,client_f623b01661d4bfe4,0.7506211820065374,low,monitor,['model_decline_risk'],4.0,3.0,0.25,59,0
content_3cd876f43eb4327e,client_2094c6eb080311d5,0.7495535193096832,low,monitor,['model_decline_risk'],4.0,3.3333333333333335,0.25,59,1
content_4b43506e3b02ae3d,client_f623b01661d4bfe4,0.7485195707593092,low,monitor,['model_decline_risk'],6.0,9.4,0.3333333333333333,59,1
content_715b26e46d7d831a,client_f623b01661d4bfe4,0.7466017887493264,low,monitor,['model_decline_risk'],4.0,4.25,0.25,59,1
content_72d9d4a27dbd26e5,client_2094c6eb080311d5,0.7408306148569653,low,monitor,['model_decline_risk'],4.0,6.0,0.25,59,1
content_eda5c0f2bc150069,client_f623b01661d4bfe4,0.7397355696219822,low,monitor,['model_decline_risk'],4.0,6.333333333333333,0.25,59,1
content_70e5ac5b35cda96f,client_f623b01661d4bfe4,0.7372856952897168,low,monitor,['model_decline_risk'],7.0,9.3,0.2857142857142857,59,1
content_00a5532498511619,client_f623b01661d4bfe4,0.7367087718083831,low,monitor,['model_decline_risk'],4.0,7.25,0.25,59,1
content_9c9cde1341e0af5d,client_f623b01661d4bfe4,0.7358793667305413,low,monitor,['model_decline_risk'],4.0,7.5,0.25,59,1
content_8e1334d6356668e3,client_73cda7b4e4f265ea,0.7353523690273497,low,monitor,"['model_decline_risk', 'visible_model_opportunity']",338385.0,4.745604664035117,8.865641207500332e-06,59,1
content_8feb3bf9aed7e064,client_f623b01661d4bfe4,0.7353255003611844,low,monitor,['model_decline_risk'],4.0,7.666666666666667,0.25,59,0
content_2be027f80d5f7855,client_f623b01661d4bfe4,0.7335855720682526,low,monitor,['model_decline_risk'],4.0,8.166666666666666,0.25,59,1
content_68892425e061bcaf,client_f623b01661d4bfe4,0.7319004271896223,low,monitor,['model_decline_risk'],10.0,4.5,0.2,59,1
content_3c650a4ef0a5e05c,client_f623b01661d4bfe4,0.7308678915995728,low,monitor,['model_decline_risk'],4.0,9.0,0.25,59,0
content_670b4b344745a34c,client_f623b01661d4bfe4,0.7306484149333341,low,monitor,['model_decline_risk'],6.0,3.5,0.3333333333333333,45,1
content_ac8304817cdd6519,client_f623b01661d4bfe4,0.7305528245326132,low,monitor,['model_decline_risk'],3.0,4.0,0.3333333333333333,45,1
